CO_CURSO,sexo_n_total,sexo_n_valido,sexo_feminino_n,sexo_masculino_n,sexo_indefinido_n,sexo_feminino_pct,sexo_masculino_pct,idade_n,idade_media,idade_mediana,idade_dp,idade_min,idade_max
86396,34,34,13,21,0,0.38235294117647056,0.6176470588235294,34,37.294117647058826,35.5,8.28847104285006,26,56
88788,34,34,20,14,0,0.5882352941176471,0.4117647058823529,34,32.470588235294116,31.0,8.83942715173141,21,57
92391,12,12,8,4,0,0.6666666666666666,0.3333333333333333,12,28.5,24.5,9.756116962286695,22,53
94692,5,5,2,3,0,0.4,0.6,5,43.0,36.0,12.68857754044952,32,62
95055,17,17,9,8,0,0.5294117647058824,0.47058823529411764,17,25.058823529411764,23.0,4.351301360445146,22,38
95221,7,7,1,6,0,0.14285714285714285,0.8571428571428571,7,42.42857142857143,44.0,8.941609528064896,25,54
96158,44,44,22,22,0,0.5,0.5,44,25.272727272727273,25.0,3.1722901738564016,20,34
96913,17,17,5,12,0,0.29411764705882354,0.7058823529411765,17,30.764705882352942,29.0,8.678489296564711,22,51
96955,3,3,1,2,0,0.3333333333333333,0.6666666666666666,3,25.666666666666668,26.0,1.5275252316519463,24,27
99045,47,47,17,30,0,0.3617021276595745,0.6382978723404256,47,28.914893617021278,27.0,6.024694786546895,22,47
99503,14,14,10,4,0,0.7142857142857143,0.2857142857142857,14,25.0,24.5,2.601774542351963,22,32
99806,43,43,18,25,0,0.4186046511627907,0.5813953488372093,43,24.976744186046513,24.0,4.267754913819403,22,47
99898,9,9,1,8,0,0.1111111111111111,0.8888888888888888,9,37.666666666666664,37.0,6.819090848492928,23,46
99952,1196,1196,508,688,0,0.42474916387959866,0.5752508361204013,1196,35.61538461538461,34.0,10.08404335966296,20,75
100309,109,109,43,66,0,0.3944954128440367,0.6055045871559633,109,33.559633027522935,32.0,10.786163283698368,20,61
100369,8,8,2,6,0,0.25,0.75,8,37.75,39.0,9.996427933445599,25,51
100373,21,21,7,14,0,0.3333333333333333,0.6666666666666666,21,26.333333333333332,25.0,3.915780041490243,21,36
100412,13,13,7,6,0,0.5384615384615384,0.46153846153846156,13,25.076923076923077,25.0,2.1393744592574424,21,28
100620,13,13,6,7,0,0.46153846153846156,0.5384615384615384,13,39.30769230769231,36.0,13.331570396272497,23,69
100690,51,51,28,23,0,0.5490196078431373,0.45098039215686275,51,27.686274509803923,25.0,7.452490043142439,20,50
100724,25,25,10,15,0,0.4,0.6,25,26.76,25.0,6.917851304174342,20,43
100775,8,8,6,2,0,0.75,0.25,8,33.25,29.0,12.781124475457661,22,56
100808,10,10,7,3,0,0.7,0.3,10,29.3,25.0,8.380532998165053,23,47
100916,10,10,5,5,0,0.5,0.5,10,30.7,28.5,7.874713398664811,23,47
101556,8,8,4,4,0,0.5,0.5,8,24.75,25.5,2.251983252919207,21,27
102152,28,28,15,13,0,0.5357142857142857,0.4642857142857143,28,24.464285714285715,24.0,2.2522769196418384,21,31
102430,29,29,11,18,0,0.3793103448275862,0.6206896551724138,29,30.413793103448278,26.0,9.143761500839597,22,58
102576,71,71,29,42,0,0.4084507042253521,0.5915492957746479,71,26.366197183098592,24.0,6.141752743359452,20,46
102588,19,19,11,8,0,0.5789473684210527,0.42105263157894735,19,24.57894736842105,23.0,4.180853042591035,20,33
102944,7,7,3,4,0,0.42857142857142855,0.5714285714285714,7,28.0,25.0,9.591663046625438,22,49
103381,31,31,11,20,0,0.3548387096774194,0.6451612903225806,31,25.64516129032258,25.0,3.3620270383284563,22,38
103572,20,20,10,10,0,0.5,0.5,20,22.7,22.0,2.319255778999173,20,28
104282,6,6,3,3,0,0.5,0.5,6,31.666666666666668,29.5,10.01332445627658,22,44
104814,21,21,12,9,0,0.5714285714285714,0.42857142857142855,21,24.333333333333332,23.0,4.396968652757638,19,38
106404,20,20,12,8,0,0.6,0.4,20,36.25,35.5,9.623846479066028,20,60
107520,51,51,22,29,0,0.43137254901960786,0.5686274509803921,51,27.41176470588235,25.0,5.250434155717927,22,43
108012,2,2,0,2,0,0.0,1.0,2,36.5,36.5,3.5355339059327378,34,39
108730,14,14,6,8,0,0.42857142857142855,0.5714285714285714,14,26.0,24.0,5.683985600588051,21,40
108734,40,40,14,26,0,0.35,0.65,40,38.75,39.0,8.946421717002925,25,60
109356,27,27,6,21,0,0.2222222222222222,0.7777777777777778,27,37.44444444444444,36.0,7.58203003734353,23,55
109768,18,18,11,7,0,0.6111111111111112,0.3888888888888889,18,23.11111111111111,22.0,4.625872113500059,21,41
109948,47,47,14,33,0,0.2978723404255319,0.7021276595744681,47,34.97872340425532,33.0,8.663991854602255,21,61
111506,6,6,4,2,0,0.6666666666666666,0.3333333333333333,6,38.666666666666664,38.5,12.077527340754262,23,53
113030,18,18,12,6,0,0.6666666666666666,0.3333333333333333,18,22.88888888888889,22.0,3.160210136142083,20,34
113295,14,14,8,6,0,0.5714285714285714,0.42857142857142855,14,23.928571428571427,22.0,5.690265448915443,21,43
113490,51,51,21,30,0,0.4117647058823529,0.5882352941176471,51,27.294117647058822,24.0,7.524078993862459,21,61
113589,7,7,5,2,0,0.7142857142857143,0.2857142857142857,7,30.0,28.0,9.092121131323903,21,46
113907,81,81,49,32,0,0.6049382716049383,0.3950617283950617,81,39.23456790123457,40.0,8.788161930885027,21,58
113953,30,30,21,9,0,0.7,0.3,30,25.366666666666667,24.0,4.986072556655176,21,44
114388,5,5,3,2,0,0.6,0.4,5,30.0,31.0,4.636809247747852,24,36
114556,13,13,7,6,0,0.5384615384615384,0.46153846153846156,13,25.846153846153847,25.0,4.140172175287596,21,33
114853,135,135,62,73,0,0.45925925925925926,0.5407407407407407,135,28.118518518518517,26.0,6.719377027640281,21,51
115086,11,11,4,7,0,0.36363636363636365,0.6363636363636364,11,27.90909090909091,26.0,6.394599994597715,21,38
116144,13,13,9,4,0,0.6923076923076923,0.3076923076923077,13,29.692307692307693,25.0,8.097166329284741,23,48
116730,5,5,1,4,0,0.2,0.8,5,27.2,27.0,3.1144823004794877,24,32
116820,3,3,0,3,0,0.0,1.0,3,22.0,22.0,1.0,21,23
116856,11,11,4,7,0,0.36363636363636365,0.6363636363636364,11,26.818181818181817,25.0,6.539391130956792,22,46
116882,16,16,7,9,0,0.4375,0.5625,16,29.625,27.0,9.5420123663722,21,60
117196,2,2,1,1,0,0.5,0.5,2,41.0,41.0,2.8284271247461903,39,43
118100,58,58,21,37,0,0.3620689655172414,0.6379310344827587,58,23.551724137931036,22.5,3.2291023889549413,21,40
118564,4,4,1,3,0,0.25,0.75,4,30.75,30.5,9.742518497116988,21,41
120389,13,13,8,5,0,0.6153846153846154,0.38461538461538464,13,29.76923076923077,23.0,10.223778216767078,22,56
120767,2,2,1,1,0,0.5,0.5,2,26.5,26.5,3.5355339059327378,24,29
121013,26,26,16,10,0,0.6153846153846154,0.38461538461538464,26,31.692307692307693,27.5,10.854563024900564,21,63
121792,6,6,3,3,0,0.5,0.5,6,26.666666666666668,25.0,3.881580434135903,23,32
122122,29,29,14,15,0,0.4827586206896552,0.5172413793103449,29,28.620689655172413,24.0,10.051346011865588,21,63
122358,1,1,1,0,0,1.0,0.0,1,22.0,22.0,,22,22
122746,19,19,9,10,0,0.47368421052631576,0.5263157894736842,19,31.789473684210527,29.0,10.554509027837982,23,68
123356,31,31,11,20,0,0.3548387096774194,0.6451612903225806,31,38.0,37.0,8.378544026261363,24,62
123472,78,78,30,48,0,0.38461538461538464,0.6153846153846154,78,37.05128205128205,34.5,11.885708362149195,20,71
123494,2,2,1,1,0,0.5,0.5,2,24.0,24.0,1.4142135623730951,23,25
123519,13,13,9,4,0,0.6923076923076923,0.3076923076923077,13,28.384615384615383,28.0,4.194012826606946,23,37
123787,3,3,2,1,0,0.6666666666666666,0.3333333333333333,3,38.0,43.0,9.539392014169456,27,44
300520,31,31,6,25,0,0.1935483870967742,0.8064516129032258,31,27.677419354838708,25.0,7.909433594445698,21,54
312333,43,43,13,30,0,0.3023255813953488,0.6976744186046512,43,26.906976744186046,23.0,8.681710259116912,21,53
1101770,46,46,15,31,0,0.32608695652173914,0.6739130434782609,46,30.782608695652176,27.5,10.93193699107398,21,73
1102402,36,36,8,28,0,0.2222222222222222,0.7777777777777778,36,30.52777777777778,29.5,5.5830668024514045,23,45
1102641,4,4,2,2,0,0.5,0.5,4,29.25,27.5,9.17877987534291,21,41
1102795,10,10,6,4,0,0.6,0.4,10,24.4,23.0,3.7178249316263163,20,30
1102963,4,4,0,4,0,0.0,1.0,4,24.25,24.5,1.7078251276599328,22,26
1103025,10,10,6,4,0,0.6,0.4,10,31.1,27.0,12.556096350201983,21,60
1103031,10,10,8,2,0,0.8,0.2,10,24.6,22.0,6.552353266829661,21,42
1103032,4,4,1,3,0,0.25,0.75,4,27.5,25.0,7.895146188218007,21,39
1103185,2,2,2,0,0,1.0,0.0,2,23.5,23.5,2.1213203435596424,22,25
1103461,15,15,9,6,0,0.6,0.4,15,26.133333333333333,25.0,6.069439450072405,21,47
1103556,20,20,6,14,0,0.3,0.7,20,33.1,28.5,10.083336958097073,23,59
1103657,15,15,8,7,0,0.5333333333333333,0.4666666666666667,15,24.933333333333334,25.0,3.195234546871922,21,33
1103813,30,30,13,17,0,0.43333333333333335,0.5666666666666667,30,25.0,24.0,3.4139672543527864,21,38
1103910,24,24,8,16,0,0.3333333333333333,0.6666666666666666,24,28.291666666666668,25.0,8.083688173893995,22,54
1103911,28,28,11,17,0,0.39285714285714285,0.6071428571428571,28,28.142857142857142,25.0,8.199883855158879,21,58
