CO_CURSO,VARIAVEL,RESPOSTA,n,pct_total
68511,QE_I01,E,1,0.02702702702702703
68511,QE_I01,,4,0.10810810810810811
70522,QE_I01,A,13,0.6190476190476191
70522,QE_I01,B,5,0.23809523809523808
70522,QE_I01,,3,0.14285714285714285
71037,QE_I01,A,4,0.4444444444444444
71037,QE_I01,B,4,0.4444444444444444
71037,QE_I01,,1,0.1111111111111111
71419,QE_I01,A,13,0.8666666666666667
71419,QE_I01,B,2,0.13333333333333333
74276,QE_I01,,6,1.0
76212,QE_I01,A,1,0.5
76212,QE_I01,B,1,0.5
80827,QE_I01,A,3,0.6
80827,QE_I01,B,2,0.4
81423,QE_I01,A,20,0.8695652173913043
81423,QE_I01,B,2,0.08695652173913043
81423,QE_I01,,1,0.043478260869565216
81660,QE_I01,A,7,0.7777777777777778
81660,QE_I01,B,2,0.2222222222222222
81812,QE_I01,A,13,0.6842105263157895
81812,QE_I01,B,4,0.21052631578947367
81812,QE_I01,,2,0.10526315789473684
82658,QE_I01,A,33,0.8461538461538461
82658,QE_I01,B,5,0.1282051282051282
82658,QE_I01,C,1,0.02564102564102564
83289,QE_I01,A,10,0.5882352941176471
83289,QE_I01,B,3,0.17647058823529413
83289,QE_I01,,4,0.23529411764705882
83302,QE_I01,A,30,0.8571428571428571
83302,QE_I01,B,4,0.11428571428571428
83302,QE_I01,E,1,0.02857142857142857
83312,QE_I01,A,13,0.6842105263157895
83312,QE_I01,B,2,0.10526315789473684
83312,QE_I01,C,1,0.05263157894736842
83312,QE_I01,D,1,0.05263157894736842
83312,QE_I01,E,1,0.05263157894736842
83312,QE_I01,,1,0.05263157894736842
83318,QE_I01,A,19,0.8636363636363636
83318,QE_I01,B,2,0.09090909090909091
83318,QE_I01,,1,0.045454545454545456
83330,QE_I01,A,12,0.8571428571428571
83330,QE_I01,,2,0.14285714285714285
83929,QE_I01,A,17,0.7727272727272727
83929,QE_I01,B,5,0.22727272727272727
84374,QE_I01,A,9,0.9
84374,QE_I01,B,1,0.1
85320,QE_I01,A,21,0.9545454545454546
85320,QE_I01,B,1,0.045454545454545456
85760,QE_I01,A,13,0.6842105263157895
85760,QE_I01,B,4,0.21052631578947367
85760,QE_I01,,2,0.10526315789473684
